KEW_FAMILY_EXT,QUERY,KEW_GENUS_EXT
Acanthaceae,Dianthera,Justicia
Acanthaceae,Disperma,Duoperma
Acanthaceae,Endopogon,Strobilanthes
Acanthaceae,Gastranthus,Stenostephanus
Acanthaceae,Gerardia,Stenandrium
Acanthaceae,Petalanthera,Justicia
Acanthaceae,Boutonia,Boutonia
Acanthaceae,Henrya,Henrya
Acanthaceae,Meyenia,Meyenia
Acanthaceae,Schaueria,Schaueria
Acanthaceae,Tetramerium,Tetramerium
Acanthaceae,Trichocalyx,Trichocalyx
Acanthaceae,Acanthodium,Blepharis
Acanthaceae,Acanthopale,Acanthopale
Acanthaceae,Acanthopsis,Acanthopsis
Acanthaceae,Acanthostelma,Acanthostelma
Acanthaceae,Acanthura,Acanthura
Acanthaceae,Acanthus,Acanthus
Acanthaceae,Acelica,Justicia
Acanthaceae,Achyrocalyx,Achyrocalyx
Acanthaceae,Adelaster,Fittonia
Acanthaceae,Adeloda,Adeloda
Acanthaceae,Adenacanthus,Strobilanthes
Acanthaceae,Adenostachya,Strobilanthes
Acanthaceae,Adhatoda,Justicia
Acanthaceae,Aechmanthera,Aechmanthera
Acanthaceae,Aetheilema,Aetheilema
Acanthaceae,Afrofittonia,Afrofittonia
Acanthaceae,Afromendoncia,Mendoncia
Acanthaceae,Alvarezia,Alvarezia
Acanthaceae,Amathea,Aphelandra
Acanthaceae,Ambongia,Ambongia
Acanthaceae,Amphiestes,Hypoestes
Acanthaceae,Amphiscopia,Justicia
Acanthaceae,Ancalanthus,Angkalanthus
Acanthaceae,Ancistranthus,Ancistranthus
Acanthaceae,Ancylacanthus,Ptyssiglottis
Acanthaceae,Androcentrum,Bravaisia
Acanthaceae,Andrographis,Andrographis
Acanthaceae,Angkalanthus,Angkalanthus
Acanthaceae,Anisacanthus,Anisacanthus
Acanthaceae,Anisosepalum,Anisosepalum
Acanthaceae,Anisostachya,Justicia
Acanthaceae,Anisotes,Anisotes
Acanthaceae,Anomacanthus,Anomacanthus
Acanthaceae,Anthacanthus,Anthacanthus
Acanthaceae,Antheliacanthus,Pseuderanthemum
Acanthaceae,Apassalus,Apassalus
Acanthaceae,Aphanandrium,Neriacanthus
Acanthaceae,Aphanosperma,Aphanosperma
Acanthaceae,Aphelandra,Aphelandra
Acanthaceae,Aphelandrella,Aphelandrella
Acanthaceae,Aphragmia,Ruellia
Acanthaceae,Apolepsis,Lepidagathis
Acanthaceae,Aporuellia,Aporuellia
Acanthaceae,Arrhostoxylum,Ruellia
Acanthaceae,Ascotheca,Ascotheca
Acanthaceae,Asteracantha,Hygrophila
Acanthaceae,Asystasia,Asystasia
Acanthaceae,Asystasiella,Asystasiella
Acanthaceae,Athlianthus,Athlianthus
Acanthaceae,Aulojusticia,Justicia
