GENUS,TPL_FAMILY,TPL_STATUS,TPL_URL
Acantholejeunea,Lejeuneaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Lejeuneaceae/Acantholejeunea/
Acantholimon,Plumbaginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Plumbaginaceae/Acantholimon/
Acantholippia,Verbenaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Verbenaceae/Acantholippia/
Acantholobivia,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Acantholobivia/
Acanthomintha,Lamiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Acanthomintha/
Acanthonema,Gesneriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Acanthonema/
Acanthopale,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acanthopale/
Acanthopanax,Araliaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Araliaceae/Acanthopanax/
Acanthopetalus,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Acanthopetalus/
Acanthophaca,Leguminosae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acanthophaca/
Acanthophippium,Orchidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acanthophippium/
Acanthophoenix,Arecaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Acanthophoenix/
Acanthophyllum,Caryophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Caryophyllaceae/Acanthophyllum/
Acanthoprasium,Lamiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Acanthoprasium/
Acanthopsis,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acanthopsis/
Acanthorhipsalis,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Acanthorhipsalis/
Acanthorrhinum,Plantaginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Plantaginaceae/Acanthorrhinum/
Acanthorrhiza,Arecaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Acanthorrhiza/
Acanthorrhynchium,Sematophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Sematophyllaceae/Acanthorrhynchium/
Acanthoscyphus,Polygonaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Acanthoscyphus/
Acanthosicyos,Cucurbitaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Cucurbitaceae/Acanthosicyos/
Acanthospermum,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acanthospermum/
Acanthosphaera,Moraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Moraceae/Acanthosphaera/
Acanthostachys,Bromeliaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Bromeliaceae/Acanthostachys/
Acanthostyles,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acanthostyles/
Acanthosyris,Santalaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Santalaceae/Acanthosyris/
Acanthothamnus,Celastraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Celastraceae/Acanthothamnus/
Acanthotrichilia,Meliaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Meliaceae/Acanthotrichilia/
Acanthoxanthium,Compositae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acanthoxanthium/
Acanthura,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acanthura/
Acanthus,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acanthus/
Acanthyllis,Leguminosae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acanthyllis/
Acareosperma,Vitaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Vitaceae/Acareosperma/
Acarna,Compositae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acarna/
Acarphaea,Compositae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acarphaea/
Acaulimalva,Malvaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Acaulimalva/
Acaulon,Pottiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Pottiaceae/Acaulon/
Acaulonopsis,Pottiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Pottiaceae/Acaulonopsis/
Acca,Myrtaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Acca/
Accara,Myrtaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Accara/
Accorombona,Leguminosae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Accorombona/
Acelica,Acanthaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acelica/
Acentra,Violaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Violaceae/Acentra/
Acer,Sapindaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Sapindaceae/Acer/
Aceras,Orchidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Aceras/
Acerates,Apocynaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Acerates/
Aceratium,Elaeocarpaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Elaeocarpaceae/Aceratium/
Aceratoglossum,Orchidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Aceratoglossum/
Aceriphyllum,Saxifragaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Saxifragaceae/Aceriphyllum/
Acetosa,Polygonaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Acetosa/
Acetosella,Oxalidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Oxalidaceae/Acetosella/
Acetosella,Polygonaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Acetosella/
Achaetogeron,Compositae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achaetogeron/
Achania,Malvaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Achania/
Acharagma,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Acharagma/
Acharia,Achariaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Achariaceae/Acharia/
Achatocarpus,Achatocarpaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Achatocarpaceae/Achatocarpus/
Achetaria,Plantaginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Plantaginaceae/Achetaria/
Achicodonia,Gesneriaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Achicodonia/
Achillea,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achillea/
Achimenantha,Gesneriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Achimenantha/
Achimenes,Gesneriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Achimenes/
Achlyphila,Xyridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Xyridaceae/Achlyphila/
Achlys,Berberidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Berberidaceae/Achlys/
Achnatherum,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Achnatherum/
Achnella,Poaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Achnella/
Achneria,Poaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Achneria/
Achnophora,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achnophora/
Achnopogon,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achnopogon/
Achomanes,Hymenophyllaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/P/Hymenophyllaceae/Achomanes/
Achoriphragma,Brassicaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Achoriphragma/
Achras,Sapotaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Sapotaceae/Achras/
Achrophyllum,Hookeriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Hookeriaceae/Achrophyllum/
Achuaria,Rutaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Achuaria/
Achudemia,Urticaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Urticaceae/Achudemia/
Achymus,Moraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Moraceae/Achymus/
Achyrachaena,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achyrachaena/
Achyranthes,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Achyranthes/
Achyrocalyx,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Achyrocalyx/
Achyrocline,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achyrocline/
Achyronia,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Achyronia/
Achyronychia,Caryophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Caryophyllaceae/Achyronychia/
Achyropappus,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achyropappus/
Achyrophorus,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achyrophorus/
Achyrophyllum,Ptychomniaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Ptychomniaceae/Achyrophyllum/
Achyropsis,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Achyropsis/
Achyrospermum,Lamiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Achyrospermum/
Aciachne,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Aciachne/
Acianthera,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acianthera/
Acianthus,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acianthus/
Acicarpha,Calyceraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Calyceraceae/Acicarpha/
Acidanthera,Iridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Iridaceae/Acidanthera/
Acidocroton,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Acidocroton/
Acidodontium,Bryaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Bryaceae/Acidodontium/
Acidonia,Proteaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Proteaceae/Acidonia/
Acidosasa,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acidosasa/
Acidoton,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Acidoton/
Acilepidopsis,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acilepidopsis/
Acilepis,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acilepis/
Acineta,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acineta/
Acinodendron,Melastomataceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Acinodendron/
Acinolis,Melastomataceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Acinolis/
Acinos,Lamiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Acinos/
Acioa,Chrysobalanaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Chrysobalanaceae/Acioa/
Aciotis,Melastomataceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Aciotis/
Acipetalum,Melastomataceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Acipetalum/
Aciphylla,Apiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Aciphylla/
Acis,Amaryllidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaryllidaceae/Acis/
Acisanthera,Melastomataceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Acisanthera/
Ackama,Cunoniaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cunoniaceae/Ackama/
Acleisanthes,Nyctaginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Nyctaginaceae/Acleisanthes/
Aclisia,Commelinaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Commelinaceae/Aclisia/
Acmadenia,Rutaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Acmadenia/
Acmanthera,Malpighiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malpighiaceae/Acmanthera/
Acmella,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acmella/
Acmena,Myrtaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Acmena/
Acmispon,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acmispon/
Acmopyle,Podocarpaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/G/Podocarpaceae/Acmopyle/
Acnida,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Acnida/
Acnistus,Solanaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Solanaceae/Acnistus/
Acoelorrhaphe,Arecaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Acoelorrhaphe/
Acokanthera,Apocynaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Acokanthera/
Acolea,Gymnomitriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Gymnomitriaceae/Acolea/
Acomastylis,Rosaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Rosaceae/Acomastylis/
Acome,Capparaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Capparaceae/Acome/
Acomis,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acomis/
Aconiopteris,Dryopteridaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/P/Dryopteridaceae/Aconiopteris/
Aconitella,Ranunculaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Ranunculaceae/Aconitella/
Aconitum,Ranunculaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Ranunculaceae/Aconitum/
Aconogonon,Polygonaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Aconogonon/
Aconogonum,Polygonaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Aconogonum/
Acontias,Araceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Araceae/Acontias/
Acophorum,Poaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acophorum/
Acoridium,Orchidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acoridium/
Acorus,Acoraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acoraceae/Acorus/
Acosmia,Caryophyllaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Caryophyllaceae/Acosmia/
Acosmium,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acosmium/
Acosmus,Malpighiaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Malpighiaceae/Acosmus/
Acosta,Compositae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acosta/
Acosta,Hypnaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Hypnaceae/Acosta/
Acostia,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acostia/
Acourtia,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acourtia/
Acrachne,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acrachne/
Acradenia,Rutaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Acradenia/
Acranthera,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Acranthera/
Acridocarpus,Malpighiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malpighiaceae/Acridocarpus/
Acrilia,Meliaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Meliaceae/Acrilia/
Acriopsis,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acriopsis/
Acrisione,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acrisione/
Acritochaete,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acritochaete/
Acritodon,Sematophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Sematophyllaceae/Acritodon/
Acritopappus,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acritopappus/
Acriulus,Cyperaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cyperaceae/Acriulus/
Acroblastum,Balanophoraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Balanophoraceae/Acroblastum/
Acrobolbus,Acrobolbaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Acrobolbaceae/Acrobolbus/
Acrobotrys,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Acrobotrys/
Acrocarpidium,Piperaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Piperaceae/Acrocarpidium/
Acrocarpus,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acrocarpus/
Acrocentron,Compositae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acrocentron/
Acrocephalus,Lamiaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Acrocephalus/
Acroceras,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acroceras/
Acrochaene,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acrochaene/
Acrochila,Plagiochilaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Plagiochilaceae/Acrochila/
Acrocladiopsis,Plagiotheciaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Plagiotheciaceae/Acrocladiopsis/
Acrocladium,Amblystegiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Amblystegiaceae/Acrocladium/
Acroclinium,Compositae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acroclinium/
Acrocomia,Arecaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Acrocomia/
Acrocoryne,Apocynaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Acrocoryne/
Acrocryphaea,Cryphaeaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Cryphaeaceae/Acrocryphaea/
Acrodiclidium,Lauraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Lauraceae/Acrodiclidium/
Acrodon,Aizoaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Aizoaceae/Acrodon/
Acroglochin,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Acroglochin/
Acroglyphe,Apiaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Acroglyphe/
Acrolasia,Loasaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Loasaceae/Acrolasia/
Acrolejeunea,Lejeuneaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Lejeuneaceae/Acrolejeunea/
Acrolophia,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acrolophia/
Acrolophozia,Gymnomitriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Gymnomitriaceae/Acrolophozia/
Acromastigum,Lepidoziaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Lepidoziaceae/Acromastigum/
Acronema,Apiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Acronema/
